epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,964.895,0.88819,0.87424,1.26908,0.7108,0.76593,0.78533,0.53035,1.09104,0.97816,1.45455,0.000990365,0.000990365,0.000990365
43,987.076,0.89823,0.87829,1.27799,0.73854,0.75605,0.82041,0.57336,1.06851,0.92877,1.43382,0.000973861,0.000973861,0.000973861
44,1009.21,0.91345,0.88562,1.28163,0.76824,0.7899,0.84812,0.56761,1.10504,0.92275,1.45461,0.000957358,0.000957358,0.000957358
45,1032.34,0.89576,0.84164,1.26224,0.837,0.73757,0.84222,0.56882,1.11092,0.88896,1.47487,0.000940855,0.000940855,0.000940855
46,1054.45,0.9008,0.86236,1.27106,0.80232,0.77314,0.82503,0.56392,1.13185,0.88094,1.50419,0.000924352,0.000924352,0.000924352
47,1077.37,0.88585,0.80502,1.2613,0.78011,0.79513,0.83102,0.5495,1.14826,0.84696,1.49698,0.000907848,0.000907848,0.000907848
48,1100.18,0.87893,0.85966,1.25944,0.8079,0.76419,0.84939,0.57303,1.0783,0.86774,1.44989,0.000891345,0.000891345,0.000891345
49,1121.92,0.84885,0.78497,1.23063,0.78402,0.75343,0.7867,0.51293,1.15793,0.91324,1.50656,0.000874842,0.000874842,0.000874842
50,1144.55,0.87594,0.79326,1.23979,0.81557,0.81514,0.84624,0.57408,1.1169,0.8247,1.47529,0.000858338,0.000858338,0.000858338
51,1166.6,0.86875,0.79741,1.23756,0.83029,0.78545,0.84746,0.57336,1.1195,0.81932,1.48101,0.000841835,0.000841835,0.000841835
52,1189.17,0.8538,0.77921,1.2366,0.77831,0.80894,0.8336,0.56738,1.10562,0.821,1.48091,0.000825332,0.000825332,0.000825332
53,1211.36,0.84501,0.79356,1.23382,0.81467,0.77091,0.82245,0.56615,1.07389,0.87416,1.44034,0.000808828,0.000808828,0.000808828
54,1234.87,0.84958,0.79565,1.23439,0.80396,0.77428,0.85685,0.58308,1.06547,0.86842,1.42317,0.000792325,0.000792325,0.000792325
55,1257.33,0.82958,0.75254,1.22572,0.8568,0.76633,0.83812,0.59444,1.05701,0.81893,1.44204,0.000775822,0.000775822,0.000775822
56,1279.65,0.80676,0.73249,1.20277,0.83741,0.817,0.86228,0.58508,1.10013,0.81751,1.4803,0.000759318,0.000759318,0.000759318
57,1301.93,0.83033,0.77188,1.23099,0.8606,0.7854,0.844,0.58982,1.06687,0.80199,1.43963,0.000742815,0.000742815,0.000742815
58,1324.08,0.82632,0.74892,1.22319,0.83715,0.82005,0.8665,0.61347,1.014,0.77434,1.41045,0.000726312,0.000726312,0.000726312
59,1347.11,0.79996,0.72792,1.20663,0.83912,0.81892,0.86589,0.61141,1.04685,0.77882,1.41534,0.000709809,0.000709809,0.000709809
60,1369.33,0.80941,0.71544,1.19858,0.7853,0.80515,0.85825,0.61029,1.03156,0.81156,1.37609,0.000693305,0.000693305,0.000693305
61,1391.18,0.7987,0.73607,1.20942,0.86137,0.79915,0.86101,0.59366,1.04252,0.7544,1.44889,0.000676802,0.000676802,0.000676802
62,1413.89,0.81277,0.7327,1.2082,0.8212,0.83627,0.87111,0.61167,1.04643,0.78503,1.4152,0.000660299,0.000660299,0.000660299
63,1436.33,0.77105,0.68061,1.17948,0.82126,0.8125,0.86372,0.59435,1.06626,0.76842,1.43848,0.000643795,0.000643795,0.000643795
64,1458.37,0.80099,0.70129,1.19547,0.83666,0.82196,0.86249,0.6091,1.00037,0.76348,1.38814,0.000627292,0.000627292,0.000627292
65,1480.37,0.79289,0.70344,1.20369,0.85237,0.83342,0.88353,0.63442,0.99662,0.72545,1.37565,0.000610789,0.000610789,0.000610789
66,1502.92,0.76161,0.68897,1.16831,0.79631,0.81448,0.84832,0.58532,1.08293,0.80675,1.46599,0.000594286,0.000594286,0.000594286
67,1525.47,0.76936,0.67273,1.1826,0.86647,0.7759,0.84979,0.59145,1.06797,0.7852,1.45644,0.000577782,0.000577782,0.000577782
68,1548.18,0.7784,0.67191,1.19389,0.81376,0.81488,0.86438,0.5992,1.06559,0.75766,1.47313,0.000561279,0.000561279,0.000561279
69,1570.77,0.74898,0.65523,1.16183,0.82475,0.75049,0.81867,0.57588,1.05187,0.88186,1.427,0.000544776,0.000544776,0.000544776
70,1593.98,0.76752,0.67283,1.18411,0.81856,0.85669,0.87087,0.60491,1.05833,0.73418,1.45797,0.000528272,0.000528272,0.000528272
71,1617.03,0.73047,0.65527,1.15906,0.89071,0.83274,0.89294,0.61098,1.08808,0.71081,1.46147,0.000511769,0.000511769,0.000511769
72,1640.3,0.73207,0.63851,1.15211,0.88331,0.79521,0.88116,0.6315,1.05081,0.73342,1.41674,0.000495266,0.000495266,0.000495266
